民國102年底人民團體會員數_選任職員及工作人員數_按團體別分,團體數,年底會社員數_總會社員數_總計_計,年底會社員數_總會社員數_總計_平均會社員數,年底會社員數_總會社員數_個人會社員_人_統計,年底會社員數_總會社員數_團體會社員_個_統計,年底會社員數_總會社員數_公司行號或工廠礦場_家_統計,年底會社員數_會社員代表_人_統計,選任職員數_人_總計_計_統計,選任職員數_人_總計_男_統計,選任職員數_人_總計_女_統計,選任職員數_人_理事長_計_統計,選任職員數_人_理事長_男_統計,選任職員數_人_理事長_女_統計,選任職員數_人_理事_計_統計,選任職員數_人_理事_男_統計,選任職員數_人_理事_女_統計,選任職員數_人_監事_計_統計,選任職員數_人_監事_男_統計,選任職員數_人_監事_女_統計,工作人員數_人_總計_計_統計,工作人員數_人_總計_男_統計,工作人員數_人_總計_女_統計,工作人員數_人_秘書長或總幹事_計_統計,工作人員數_人_秘書長或總幹事_男_統計,工作人員數_人_秘書長或總幹事_女_統計,工作人員數_人_全職人員_計_統計,工作人員數_人_全職人員_男_統計,工作人員數_人_全職人員_女_統計,工作人員數_人_部分工時人員_計_統計,工作人員數_人_部分工時人員_男_統計,工作人員數_人_部分工時人員_女_統計,志工_人_計_統計,志工_人_男_統計,志工_人_女_統計
實數總計,45023,9127819,203,8234439,395876,497504,1656805,750658,529850,220808,45023,34295,10728,528220,378495,149725,177415,117060,60355,152364,73914,78450,45023,27671,17352,75911,31163,44748,31430,15080,16350,533814,202139,331675
實數_職業團體,5083,1391386,274,892979,902,497504,396625,85020,65285,19735,5083,4090,993,59428,45801,13627,20509,15394,5115,16785,6751,10034,5083,2559,2524,10490,3651,6839,1212,541,671,11688,557,11131
實數_職業團體_工業團體,174,39935,230,0,169,39766,20479,4862,4790,72,174,173,1,3518,3470,48,1170,1147,23,1318,938,380,174,164,10,1126,770,356,18,4,14,37,5,32
實數_職業團體_商業團體,2281,458214,201,0,476,457738,275799,43255,37943,5312,2281,2077,204,30974,27242,3732,10000,8624,1376,6218,2368,3850,2281,1020,1261,3456,1131,2325,481,217,264,5494,53,5441
實數_職業團體_自由職業團體,2628,893236,340,892979,257,0,100347,36903,22552,14351,2628,1840,788,24936,15089,9847,9339,5623,3716,9249,3446,5803,2628,1376,1252,5908,1750,4158,713,320,393,6156,499,5657
實數_職業團體_自由職業團體_教育會團體,335,248009,740,248009,0,0,39224,5173,3794,1379,335,285,50,3517,2561,956,1321,948,373,914,547,367,335,240,95,346,128,218,233,179,54,497,155,342
實數_職業團體_自由職業團體_教師會團體,1620,282590,174,282565,25,0,27554,20387,10713,9674,1620,1018,602,13389,6824,6565,5378,2871,2507,6343,2435,3908,1620,871,749,4421,1453,2968,302,111,191,3538,57,3481
實數_職業團體_自由職業團體_其他自由職業團體,673,362637,539,362405,232,0,33569,11343,8044,3299,673,536,137,8030,5704,2326,2640,1804,836,1992,464,1528,673,265,408,1141,169,972,178,30,148,2122,288,1834
實數_社會團體,39940,7736433,194,7341460,394974,0,1260180,665638,464565,201073,39940,30205,9735,468792,332694,136098,156906,101666,55240,135580,67164,68416,39940,25112,14828,65422,27513,37909,30218,14539,15679,522125,201581,320544
實數_社會團體_學術文化團體,6893,804753,117,746871,57881,0,144397,111161,75119,36042,6893,5046,1847,77495,53357,24138,26773,16716,10057,21839,10850,10989,6893,4338,2555,9934,4374,5560,5012,2138,2874,50328,15377,34951
實數_社會團體_醫療衛生團體,1304,514669,395,506851,7818,0,33696,24891,18239,6652,1304,1081,223,17568,13036,4532,6019,4122,1897,4536,1472,3064,1304,723,581,2333,617,1716,899,132,767,8583,752,7831
實數_社會團體_宗教團體,2311,607207,263,555023,52184,0,63636,38600,23671,14929,2311,1612,699,27146,17046,10100,9143,5013,4130,8001,3562,4439,2311,1312,999,3998,1478,2520,1692,772,920,92185,45441,46744
實數_社會團體_體育團體,4830,913336,189,872343,40994,0,144594,77421,51975,25446,4830,3610,1220,54101,37159,16942,18490,11206,7284,13094,8407,4687,4830,3201,1629,5449,3276,2173,2815,1930,885,48947,22279,26668
實數_社會團體_社會服務及慈善團體,12529,3118478,249,2992879,125599,0,502587,202551,128553,73998,12529,8948,3581,141534,91106,50428,48488,28499,19989,49336,21847,27489,12529,7270,5259,24505,9303,15202,12302,5274,7028,256641,93785,162856
實數_社會團體_國際團體,2527,154422,61,128152,26270,0,39989,37198,27190,10008,2527,1865,662,26547,19443,7104,8124,5882,2242,9953,5139,4814,2527,1651,876,6429,2973,3456,997,515,482,4938,2966,1972
實數_社會團體_經濟業務團體,4789,498780,104,436639,62142,0,143239,84278,65524,18754,4789,4002,787,59854,47339,12515,19635,14183,5452,16380,7573,8807,4789,3095,1694,8804,3246,5558,2787,1232,1555,34262,8252,26010
實數_社會團體_環保團體,374,30418,81,27196,3222,0,10134,6279,4632,1647,374,282,92,4475,3376,1099,1430,974,456,2217,1052,1165,374,229,145,1278,568,710,565,255,310,5407,2409,2998
實數_社會團體_其他(宗親會同鄉會同學校友會其他社會團體),4383,1904370,434,1075506,18864,0,177908,83259,69662,13597,4383,3759,624,60072,50832,9240,18804,15071,3733,10224,7260,2964,4383,3291,1092,2692,1678,1014,3149,2291,858,20835,10321,10514
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百分比總計,100,100,0,100,100,100,100,100,70.6,29.4,6,4.6,1.4,70.4,50.4,19.9,23.6,15.6,8,100,48.5,51.5,29.5,18.2,11.4,49.8,20.5,29.4,20.6,9.9,10.7,100,37.9,62.1
百分比_職業團體,11.3,15.2,0,10.8,0.2,100,23.9,100,76.8,23.2,6,4.8,1.2,69.9,53.9,16,24.1,18.1,6,100,40.2,59.8,30.3,15.2,15,62.5,21.8,40.7,7.2,3.2,4,100,4.8,95.2
百分比_職業團體_工業團體,0.4,0.4,0,0,0,8,1.2,100,98.5,1.5,3.6,3.6,0,72.4,71.4,1,24.1,23.6,0.5,100,71.2,28.8,13.2,12.4,0.8,85.4,58.4,27,1.4,0.3,1.1,100,13.5,86.5
百分比_職業團體_商業團體,5.1,5,0,0,0.1,92,16.6,100,87.7,12.3,5.3,4.8,0.5,71.6,63,8.6,23.1,19.9,3.2,100,38.1,61.9,36.7,16.4,20.3,55.6,18.2,37.4,7.7,3.5,4.2,100,1,99
百分比_職業團體_自由職業團體,5.8,9.8,0,10.8,0.1,0,6.1,100,61.1,38.9,7.1,5,2.1,67.6,40.9,26.7,25.3,15.2,10.1,100,37.3,62.7,28.4,14.9,13.5,63.9,18.9,45,7.7,3.5,4.2,100,8.1,91.9
百分比_職業團體_自由職業團體_教育會團體,0.7,2.7,0,3,0,0,2.4,100,73.3,26.7,6.5,5.5,1,68,49.5,18.5,25.5,18.3,7.2,100,59.8,40.2,36.7,26.3,10.4,37.9,14,23.9,25.5,19.6,5.9,100,31.2,68.8
百分比_職業團體_自由職業團體_教師會團體,3.6,3.1,0,3.4,0,0,1.7,100,52.5,47.5,7.9,5,3,65.7,33.5,32.2,26.4,14.1,12.3,100,38.4,61.6,25.5,13.7,11.8,69.7,22.9,46.8,4.8,1.7,3,100,1.6,98.4
百分比_職業團體_自由職業團體_其他自由職業團體,1.5,4,0,4.4,0.1,0,2,100,70.9,29.1,5.9,4.7,1.2,70.8,50.3,20.5,23.3,15.9,7.4,100,23.3,76.7,33.8,13.3,20.5,57.3,8.5,48.8,8.9,1.5,7.4,100,13.6,86.4
百分比_社會團體,88.7,84.8,0,89.2,99.8,0,76.1,100,69.8,30.2,6,4.5,1.5,70.4,50,20.4,23.6,15.3,8.3,100,49.5,50.5,29.5,18.5,10.9,48.3,20.3,28,22.3,10.7,11.6,100,38.6,61.4
百分比_社會團體_學術文化團體,15.3,8.8,0,9.1,14.6,0,8.7,100,67.6,32.4,6.2,4.5,1.7,69.7,48,21.7,24.1,15,9,100,49.7,50.3,31.6,19.9,11.7,45.5,20,25.5,22.9,9.8,13.2,100,30.6,69.4
百分比_社會團體_醫療衛生團體,2.9,5.6,0,6.2,2,0,2,100,73.3,26.7,5.2,4.3,0.9,70.6,52.4,18.2,24.2,16.6,7.6,100,32.5,67.5,28.7,15.9,12.8,51.4,13.6,37.8,19.8,2.9,16.9,100,8.8,91.2
百分比_社會團體_宗教團體,5.1,6.7,0,6.7,13.2,0,3.8,100,61.3,38.7,6,4.2,1.8,70.3,44.2,26.2,23.7,13,10.7,100,44.5,55.5,28.9,16.4,12.5,50,18.5,31.5,21.1,9.6,11.5,100,49.3,50.7
百分比_社會團體_體育團體,10.7,10,0,10.6,10.4,0,8.7,100,67.1,32.9,6.2,4.7,1.6,69.9,48,21.9,23.9,14.5,9.4,100,64.2,35.8,36.9,24.4,12.4,41.6,25,16.6,21.5,14.7,6.8,100,45.5,54.5
百分比_社會團體_社會服務及慈善團體,27.8,34.2,0,36.3,31.7,0,30.3,100,63.5,36.5,6.2,4.4,1.8,69.9,45,24.9,23.9,14.1,9.9,100,44.3,55.7,25.4,14.7,10.7,49.7,18.9,30.8,24.9,10.7,14.2,100,36.5,63.5
百分比_社會團體_國際團體,5.6,1.7,0,1.6,6.6,0,2.4,100,73.1,26.9,6.8,5,1.8,71.4,52.3,19.1,21.8,15.8,6,100,51.6,48.4,25.4,16.6,8.8,64.6,29.9,34.7,10,5.2,4.8,100,60.1,39.9
百分比_社會團體_經濟業務團體,10.6,5.5,0,5.3,15.7,0,8.6,100,77.7,22.3,5.7,4.7,0.9,71,56.2,14.8,23.3,16.8,6.5,100,46.2,53.8,29.2,18.9,10.3,53.7,19.8,33.9,17,7.5,9.5,100,24.1,75.9
百分比_社會團體_環保團體,0.8,0.3,0,0.3,0.8,0,0.6,100,73.8,26.2,6,4.5,1.5,71.3,53.8,17.5,22.8,15.5,7.3,100,47.5,52.5,16.9,10.3,6.5,57.6,25.6,32,25.5,11.5,14,100,44.6,55.4
百分比_社會團體_其他(宗親會同鄉會同學校友會其他社會團體),9.7,20.9,0,13.1,4.8,0,10.7,100,83.7,16.3,5.3,4.5,0.7,72.2,61.1,11.1,22.6,18.1,4.5,100,71,29,42.9,32.2,10.7,26.3,16.4,9.9,30.8,22.4,8.4,100,49.5,50.5
